,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Ticker
1169,2019-09-30,USD,27505000,49797000,22292000,22292000,-12759000,28143000,12121000,40264000,1154000,-621000,1154000,621000,49797000,109000,4000000,36200,-12117000,46000,621000,-12163000,-12198000,-11496000,-11459800,-12163000,FSLY
1170,2019-06-30,USD,25389000,46173000,20784000,20784000,-11681000,25826000,11244000,37070000,861000,-2989000,861000,2989000,46173000,-1696000,3900000,26300,-15505000,82000,2989000,-15587000,-15594000,-12516000,-12489700,-15587000,FSLY
1171,2019-03-31,USD,25838000,45556000,19718000,19718000,-8077000,8700000,10176000,33915000,None,-819000,819000,1235000,None,-776000,3700000,3738000,-9627000,100000,None,-9727000,-9671000,-8392000,-4699000,-9727000,FSLY
1172,2018-12-31,USD,23088000,40797000,17709000,17709000,-7059000,7353000,9307000,30147000,None,None,None,591000,None,23000,3600000,3682000,-7265000,41000,None,None,-7310000,-6674000,-2992000,-7306000,FSLY
1173,2018-09-30,USD,20109000,36820000,16711000,16711000,-7720000,6265000,9233000,27829000,None,None,None,479000,None,-530000,3400000,3423000,-8436000,51000,None,-8487000,-8517000,-7957000,-4534000,-8487000,FSLY
1174,2018-06-30,USD,18753000,34448000,15695000,15695000,-5449000,4130000,8099000,24202000,None,None,None,359000,None,-140000,None,3284000,-5801000,35000,None,-5836000,-5874000,-5442000,-2158000,-5836000,FSLY
1175,2022-12-31,USD,66202000,146542000,80340000,80340000,-32487000,52201000,34041000,98689000,613000,-676000,2463000,676000,146542000,2463000,None,11025000,-31676000,735000,676000,-32411000,-31780000,-32487000,-19975000,-32411000,QTWO
1176,2022-09-30,USD,66856000,144751000,77895000,77895000,-27091000,50580000,33099000,93947000,266000,-676000,1420000,676000,144751000,1420000,None,4422000,-27322000,469000,0,-27791000,-28828000,-27091000,-22224000,-27791000,QTWO
1177,2022-06-30,USD,62888000,140309000,77421000,77421000,-23784000,49762000,31832000,86672000,-265000,-691000,564000,691000,140309000,564000,None,4422000,-24882000,340000,0,-25222000,-26490000,-23784000,-19769000,-25222000,QTWO
1178,2022-03-31,USD,60399000,134071000,73672000,73672000,-21399000,45834000,31131000,81798000,-312000,-676000,915000,676000,134071000,915000,None,10144000,-22195000,1364000,676000,-23559000,-24722000,-21399000,-11375000,-23559000,QTWO
1179,2021-12-31,USD,59484000,131891000,72407000,72407000,-17567000,42522000,29965000,77051000,-366000,-6914000,949000,6914000,131891000,949000,None,11538000,-24647000,734000,6914000,-25381000,-25609000,-17567000,-6195000,-25381000,QTWO
1180,2021-09-30,USD,57010000,126736000,69726000,69726000,-22972000,43016000,30763000,79982000,-293000,-6849000,136000,6849000,126736000,136000,None,4483000,-30987000,596000,0,-31583000,-31428000,-22972000,-19655000,-31583000,QTWO
1181,2021-06-30,USD,55340000,123573000,68233000,68233000,-19943000,39291000,29429000,75283000,-382000,-7093000,212000,7093000,122060000,-1301000,None,4563000,-29949000,178000,1513000,-30127000,-30178000,-19943000,-18293000,-30127000,QTWO
